Threshold,# Features Imputed,MSE (MI),Time (MI),MSE (KI),Time (KI),MSE (MinI),Time (MinI)
0.1000,0,69.1461,0.0062,69.1461,0.0045,69.1461,0.0049
0.0215,1,67.5323,0.0000,68.6988,0.4272,70.3228,0.0017
0.0046,2,65.4740,0.0054,59.5298,0.7002,66.1033,0.0000
0.0010,4,72.8833,0.0034,64.1701,2.2840,60.5698,0.0050
0.0002,4,72.8833,0.0041,64.1701,2.2187,60.5698,0.0031
0.0000,4,72.8833,0.0045,64.1701,2.2506,60.5698,0.0000
0.0000,4,72.8833,0.0057,64.1701,2.2434,60.5698,0.0056
0.0000,4,72.8833,0.0101,64.1701,2.2785,60.5698,0.0000
0.0000,4,72.8833,0.0045,64.1701,2.2362,60.5698,0.0030
0.0000,4,72.8833,0.0033,64.1701,2.2845,60.5698,0.0063
