Threshold,# Features Imputed,MSE (MI),Time (MI),MSE (KI),Time (KI),MSE (MinI),Time (MinI)
0.1000,0,0.1421,0.1585,0.1421,0.1543,0.1421,0.5901
0.0215,0,0.1421,0.1370,0.1421,0.1306,0.1421,0.5314
0.0046,10,0.4836,0.1420,0.3627,13.1546,0.5653,0.5171
0.0010,20,0.0512,0.1632,0.4093,12.5516,0.0824,0.5284
0.0002,23,0.0660,0.1443,0.3388,11.4398,0.0763,0.5260
0.0000,23,0.0660,0.1436,0.3388,14.2519,0.0763,0.5353
0.0000,24,0.0036,0.1467,0.5497,15.3388,0.0701,0.5159
0.0000,24,0.0036,0.1391,0.5497,12.9847,0.0701,0.5063
0.0000,24,0.0036,0.1402,0.5497,13.4138,0.0701,0.4949
0.0000,24,0.0036,0.1467,0.5497,11.0338,0.0701,0.5469
